module_id,module_title,module_summary,module_required_hours,module_fee,module_order,minimum_hours_for_certification,minimum_clinical_hours,skill_names,section_id,section_title,section_description,resource_id,resource_title,resource_type,resource_duration,resource_description,resource_content,resource_url,resource_question_count,resource_passing_score
"cdphe-m3","Module 3: Interpersonal Skills","Builds core communication and relationship skills needed for patient, family, and team interactions.",2,91,3,2,0,"Communication|Family Interaction","cdphe-m3-b","Defense mechanisms","CDPH 276C topic area for Module 3.","cdphe-m3-b-r1","Defense mechanisms","text","24 min","Module 3 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 3: Defense mechanisms.","","",""
"cdphe-m3","Module 3: Interpersonal Skills","Builds core communication and relationship skills needed for patient, family, and team interactions.",2,91,3,2,0,"Communication|Family Interaction","cdphe-m3-c","Sociocultural factors","CDPH 276C topic area for Module 3.","cdphe-m3-c-r1","Sociocultural factors","text","24 min","Module 3 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 3: Sociocultural factors.","","",""
"cdphe-m3","Module 3: Interpersonal Skills","Builds core communication and relationship skills needed for patient, family, and team interactions.",2,91,3,2,0,"Communication|Family Interaction","cdphe-m3-d","Attitudes toward illness and health care","CDPH 276C topic area for Module 3.","cdphe-m3-d-r1","Attitudes toward illness and health care","text","24 min","Module 3 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 3: Attitudes toward illness and health care.","","",""
"cdphe-m3","Module 3: Interpersonal Skills","Builds core communication and relationship skills needed for patient, family, and team interactions.",2,91,3,2,0,"Communication|Family Interaction","cdphe-m3-e","Family interaction","CDPH 276C topic area for Module 3.","cdphe-m3-e-r1","Family interaction","text","24 min","Module 3 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 3: Family interaction.","","",""
"cdphe-m4","Module 4: Prevention and Management of Catastrophe and Unusual Occurrences","Covers emergencies, safety, fire and disaster plans, CNA response roles, and patient safety expectations.",1,18,4,1,0,"Safety|Emergency Response","cdphe-m4-a","Emergency","CDPH 276C topic area for Module 4.","cdphe-m4-a-r1","Emergency","text","12 min","Module 4 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 4: Emergency.","","",""
"cdphe-m4","Module 4: Prevention and Management of Catastrophe and Unusual Occurrences","Covers emergencies, safety, fire and disaster plans, CNA response roles, and patient safety expectations.",1,18,4,1,0,"Safety|Emergency Response","cdphe-m4-b","General safety rules","CDPH 276C topic area for Module 4.","cdphe-m4-b-r1","General safety rules","text","12 min","Module 4 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 4: General safety rules.","","",""
"cdphe-m4","Module 4: Prevention and Management of Catastrophe and Unusual Occurrences","Covers emergencies, safety, fire and disaster plans, CNA response roles, and patient safety expectations.",1,18,4,1,0,"Safety|Emergency Response","cdphe-m4-c","Fire and disaster plans","CDPH 276C topic area for Module 4.","cdphe-m4-c-r1","Fire and disaster plans","text","12 min","Module 4 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 4: Fire and disaster plans.","","",""
"cdphe-m4","Module 4: Prevention and Management of Catastrophe and Unusual Occurrences","Covers emergencies, safety, fire and disaster plans, CNA response roles, and patient safety expectations.",1,18,4,1,0,"Safety|Emergency Response","cdphe-m4-d","Roles and procedures for Certified Nurse Assistants (CNA)","CDPH 276C topic area for Module 4.","cdphe-m4-d-r1","Roles and procedures for Certified Nurse Assistants (CNA)","text","12 min","Module 4 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 4: Roles and procedures for Certified Nurse Assistants (CNA).","","",""
"cdphe-m4","Module 4: Prevention and Management of Catastrophe and Unusual Occurrences","Covers emergencies, safety, fire and disaster plans, CNA response roles, and patient safety expectations.",1,18,4,1,0,"Safety|Emergency Response","cdphe-m4-e","Patient Safety","CDPH 276C topic area for Module 4.","cdphe-m4-e-r1","Patient Safety","text","12 min","Module 4 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 4: Patient Safety.","","",""
"cdphe-m5","Module 5: Body Mechanics","Introduces safe body mechanics, transfers, ambulation, positioning, and movement techniques.",2,73,5,2,0,"Transfers|Ambulation|Positioning","cdphe-m5-a","Basic rules of body mechanics","CDPH 276C topic area for Module 5.","cdphe-m5-a-r1","Basic rules of body mechanics","text","30 min","Module 5 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 5: Basic rules of body mechanics.","","",""
"cdphe-m5","Module 5: Body Mechanics","Introduces safe body mechanics, transfers, ambulation, positioning, and movement techniques.",2,73,5,2,0,"Transfers|Ambulation|Positioning","cdphe-m5-b","Transfer techniques","CDPH 276C topic area for Module 5.","cdphe-m5-b-r1","Transfer techniques","text","30 min","Module 5 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 5: Transfer techniques.","","",""
"cdphe-m5","Module 5: Body Mechanics","Introduces safe body mechanics, transfers, ambulation, positioning, and movement techniques.",2,73,5,2,0,"Transfers|Ambulation|Positioning","cdphe-m5-c","Ambulation","CDPH 276C topic area for Module 5.","cdphe-m5-c-r1","Ambulation","text","30 min","Module 5 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 5: Ambulation.","","",""
"cdphe-m5","Module 5: Body Mechanics","Introduces safe body mechanics, transfers, ambulation, positioning, and movement techniques.",2,73,5,2,0,"Transfers|Ambulation|Positioning","cdphe-m5-d","Proper use of body mechanics and positioning techniques","CDPH 276C topic area for Module 5.","cdphe-m5-d-r1","Proper use of body mechanics and positioning techniques","text","30 min","Module 5 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 5: Proper use of body mechanics and positioning techniques.","","",""
"cdphe-m6","Module 6: Medical and Surgical Asepsis","Covers microorganisms, universal precautions, and the core principles of aseptic practice.",2,44,6,2,0,"Asepsis|Standard Precautions","cdphe-m6-a","Micro-organisms","CDPH 276C topic area for Module 6.","cdphe-m6-a-r1","Micro-organisms","text","40 min","Module 6 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 6: Micro-organisms.","","",""
"cdphe-m6","Module 6: Medical and Surgical Asepsis","Covers microorganisms, universal precautions, and the core principles of aseptic practice.",2,44,6,2,0,"Asepsis|Standard Precautions","cdphe-m6-b","Universal precautions (Standard Precautions)","CDPH 276C topic area for Module 6.","cdphe-m6-b-r1","Universal precautions (Standard Precautions)","text","40 min","Module 6 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 6: Universal precautions (Standard Precautions).","","",""
"cdphe-m6","Module 6: Medical and Surgical Asepsis","Covers microorganisms, universal precautions, and the core principles of aseptic practice.",2,44,6,2,0,"Asepsis|Standard Precautions","cdphe-m6-c","Basic principles of asepsis","CDPH 276C topic area for Module 6.","cdphe-m6-c-r1","Basic principles of asepsis","text","40 min","Module 6 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 6: Basic principles of asepsis.","","",""
"cdphe-m7","Module 7: Weights and Measures","Builds accuracy with metric measurements, volume, weight, length, and 24-hour time.",1,12,7,1,0,"Metric System|Military Time","cdphe-m7-a","The metric system","CDPH 276C topic area for Module 7.","cdphe-m7-a-r1","The metric system","text","20 min","Module 7 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 7: The metric system.","","",""
"cdphe-m7","Module 7: Weights and Measures","Builds accuracy with metric measurements, volume, weight, length, and 24-hour time.",1,12,7,1,0,"Metric System|Military Time","cdphe-m7-b","Weight, length, and liquid volume","CDPH 276C topic area for Module 7.","cdphe-m7-b-r1","Weight, length, and liquid volume","text","20 min","Module 7 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 7: Weight, length, and liquid volume.","","",""
"cdphe-m7","Module 7: Weights and Measures","Builds accuracy with metric measurements, volume, weight, length, and 24-hour time.",1,12,7,1,0,"Metric System|Military Time","cdphe-m7-c","Military time, i.e. a 24-hour clock","CDPH 276C topic area for Module 7.","cdphe-m7-c-r1","Military time, i.e. a 24-hour clock","text","20 min","Module 7 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 7: Military time, i.e. a 24-hour clock.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-a","Bathing and medicinal baths","CDPH 276C topic area for Module 8.","cdphe-m8-a-r1","Bathing and medicinal baths","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Bathing and medicinal baths.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-b","Dressing","CDPH 276C topic area for Module 8.","cdphe-m8-b-r1","Dressing","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Dressing.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-c","Oral hygiene","CDPH 276C topic area for Module 8.","cdphe-m8-c-r1","Oral hygiene","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Oral hygiene.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-d","Hair care, hair shampoo, medicinal shampoo, nail care, and shaving","CDPH 276C topic area for Module 8.","cdphe-m8-d-r1","Hair care, hair shampoo, medicinal shampoo, nail care, and shaving","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Hair care, hair shampoo, medicinal shampoo, nail care, and shaving.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-e","Prosthetic devices","CDPH 276C topic area for Module 8.","cdphe-m8-e-r1","Prosthetic devices","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Prosthetic devices.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-f","Skin care including prevention of decubitus ulcers","CDPH 276C topic area for Module 8.","cdphe-m8-f-r1","Skin care including prevention of decubitus ulcers","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Skin care including prevention of decubitus ulcers.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-g","Elimination needs","CDPH 276C topic area for Module 8.","cdphe-m8-g-r1","Elimination needs","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Elimination needs.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-h","Bowel and bladder retraining","CDPH 276C topic area for Module 8.","cdphe-m8-h-r1","Bowel and bladder retraining","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Bowel and bladder retraining.","","",""
"cdphe-m8","Module 8: Patient Care Skill","Covers foundational patient care skills including bathing, dressing, oral hygiene, grooming, prosthetics, skin care, elimination, retraining, and weighing and measuring.",14,98,8,14,0,"Bathing|Oral Hygiene|Skin Care|Elimination","cdphe-m8-i","Weighing and measuring the patient","CDPH 276C topic area for Module 8.","cdphe-m8-i-r1","Weighing and measuring the patient","text","90 min","Module 8 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 8: Weighing and measuring the patient.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-a","Collection of specimens, including stool, urine, and sputum","CDPH 276C topic area for Module 9.","cdphe-m9-a-r1","Collection of specimens, including stool, urine, and sputum","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Collection of specimens, including stool, urine, and sputum.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-b","Care of patients with tubing (urinary, gastric, oxygen, IV). Not inserting/suctioning.","CDPH 276C topic area for Module 9.","cdphe-m9-b-r1","Care of patients with tubing (urinary, gastric, oxygen, IV). Not inserting/suctioning.","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Care of patients with tubing (urinary, gastric, oxygen, IV). Not inserting/suctioning.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-c","Intake and Output","CDPH 276C topic area for Module 9.","cdphe-m9-c-r1","Intake and Output","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Intake and Output.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-d","Bedmaking","CDPH 276C topic area for Module 9.","cdphe-m9-d-r1","Bedmaking","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Bedmaking.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-e","Cleansing enemas and laxative suppositories","CDPH 276C topic area for Module 9.","cdphe-m9-e-r1","Cleansing enemas and laxative suppositories","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Cleansing enemas and laxative suppositories.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-f","Admission, transfer and discharge","CDPH 276C topic area for Module 9.","cdphe-m9-f-r1","Admission, transfer and discharge","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Admission, transfer and discharge.","","",""
"cdphe-m9","Module 9: Patient Care Procedures","Covers specimen collection, tubing-related care, intake and output, bedmaking, enemas, admissions and transfers, and nonsterile dressings.",7,56,9,7,0,"Specimens|Bedmaking|Intake and Output","cdphe-m9-g","Bandages and nonsterile dry dressings","CDPH 276C topic area for Module 9.","cdphe-m9-g-r1","Bandages and nonsterile dry dressings","text","60 min","Module 9 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 9: Bandages and nonsterile dry dressings.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-a","Purpose of vital signs","CDPH 276C topic area for Module 10.","cdphe-m10-a-r1","Purpose of vital signs","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Purpose of vital signs.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-b","Factors affecting vital signs","CDPH 276C topic area for Module 10.","cdphe-m10-b-r1","Factors affecting vital signs","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Factors affecting vital signs.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-c","Normal ranges","CDPH 276C topic area for Module 10.","cdphe-m10-c-r1","Normal ranges","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Normal ranges.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-d","Methods of measurement","CDPH 276C topic area for Module 10.","cdphe-m10-d-r1","Methods of measurement","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Methods of measurement.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-e","Temperature, pulse, respiration","CDPH 276C topic area for Module 10.","cdphe-m10-e-r1","Temperature, pulse, respiration","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Temperature, pulse, respiration.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-f","Blood pressure","CDPH 276C topic area for Module 10.","cdphe-m10-f-r1","Blood pressure","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Blood pressure.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-g","Abnormalities","CDPH 276C topic area for Module 10.","cdphe-m10-g-r1","Abnormalities","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Abnormalities.","","",""
"cdphe-m10","Module 10: Vital Signs","Covers vital sign purpose, factors, ranges, measurement methods, abnormalities, and recording.",3,35,10,3,0,"Vital Signs|Blood Pressure","cdphe-m10-h","Recording","CDPH 276C topic area for Module 10.","cdphe-m10-h-r1","Recording","text","23 min","Module 10 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 10: Recording.","","",""
"cdphe-m11","Module 11: Nutrition","Covers proper nutrition, feeding techniques, and diet therapy.",2,22,11,2,0,"Nutrition|Feeding","cdphe-m11-a","Proper nutrition","CDPH 276C topic area for Module 11.","cdphe-m11-a-r1","Proper nutrition","text","40 min","Module 11 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 11: Proper nutrition.","","",""
"cdphe-m11","Module 11: Nutrition","Covers proper nutrition, feeding techniques, and diet therapy.",2,22,11,2,0,"Nutrition|Feeding","cdphe-m11-b","Feeding techniques","CDPH 276C topic area for Module 11.","cdphe-m11-b-r1","Feeding techniques","text","40 min","Module 11 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 11: Feeding techniques.","","",""
"cdphe-m11","Module 11: Nutrition","Covers proper nutrition, feeding techniques, and diet therapy.",2,22,11,2,0,"Nutrition|Feeding","cdphe-m11-c","Diet therapy","CDPH 276C topic area for Module 11.","cdphe-m11-c-r1","Diet therapy","text","40 min","Module 11 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 11: Diet therapy.","","",""
"cdphe-m12","Module 12: Emergency Procedures","Covers signs of distress, immediate interventions, and emergency code response.",2,80,12,2,0,"Emergency Codes|Immediate Intervention","cdphe-m12-a","Signs and symptoms of distress","CDPH 276C topic area for Module 12.","cdphe-m12-a-r1","Signs and symptoms of distress","text","40 min","Module 12 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 12: Signs and symptoms of distress.","","",""
"cdphe-m12","Module 12: Emergency Procedures","Covers signs of distress, immediate interventions, and emergency code response.",2,80,12,2,0,"Emergency Codes|Immediate Intervention","cdphe-m12-b","Immediate and temporary intervention","CDPH 276C topic area for Module 12.","cdphe-m12-b-r1","Immediate and temporary intervention","text","40 min","Module 12 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 12: Immediate and temporary intervention.","","",""
"cdphe-m12","Module 12: Emergency Procedures","Covers signs of distress, immediate interventions, and emergency code response.",2,80,12,2,0,"Emergency Codes|Immediate Intervention","cdphe-m12-c","Emergency codes","CDPH 276C topic area for Module 12.","cdphe-m12-c-r1","Emergency codes","text","40 min","Module 12 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 12: Emergency codes.","","",""
"cdphe-m13","Module 13: Long-Term Care Patient","Covers special needs, dementia, anatomy and physiology, physical and behavioral changes, community resources, psychosocial needs, and common disorders.",5,67,13,5,0,"Dementia Care|Community Resources|Anatomy","cdphe-m13-a1","Special needs of persons with developmental/mental disorders","CDPH 276C topic area for Module 13.","cdphe-m13-a1-r1","Special needs of persons with developmental/mental disorders","text","43 min","Module 13 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 13: Special needs of persons with developmental/mental disorders.","","",""
"cdphe-m13","Module 13: Long-Term Care Patient","Covers special needs, dementia, anatomy and physiology, physical and behavioral changes, community resources, psychosocial needs, and common disorders.",5,67,13,5,0,"Dementia Care|Community Resources|Anatomy","cdphe-m13-a2","Special needs of persons with Alzheimer's disease and related dementias","CDPH 276C topic area for Module 13.","cdphe-m13-a2-r1","Special needs of persons with Alzheimer's disease and related dementias","text","43 min","Module 13 lesson content imported from the CDPH 276C outline.","CDPH 276C coverage item for Module 13: Special needs of persons with Alzheimer's disease and related dementias.","","",""
